author,text,hashtags,likes,retweets,replies,created_at,url
chill guy | fan page,"I AM ABOUT TO WALK INTO THE MOST ABUNDANT BALANCED WEALTHY AND SUCCESSFUL PERIOD OF MY LIFE. I NATURALLY ATTRACT GOOD FORTUNE, AND I AM WEALTHY IN MORE WAYS THAN ONE. I GIVE MYSELF PERMISSION TO PROSPER, AND I HAVE THE POWER TO BUILD THE LIFE THAT I DESIRE.",,130,469,130,2024-11-27T23:25:33.000Z,https://x.com/chillguyx/status/1861914288807374869
Gibbs,"NEXT LEG LOADING Last time we see under $0.10 for good.

GOD WILLING #ChillGuy",#ChillGuy,6,21,6,2025-05-26T00:55:53.000Z,https://x.com/CryptoGibbs28/status/1926804447377653811
FreenBecky&Chill,Guys  I’m so proud of her and I’m sure you all know what I mean  REBECCA WITH CHANEL J12 BLUE HOUR #ChanelJ12xBecky,#ChanelJ12xBecky,114,114,0,2025-05-24T12:21:01.000Z,https://x.com/FBandChill/status/1926252094287122590
just a chill guy | fan page,"when your friend is shilling you something that you know is a rug

but you're just a  chill guy  so you hear him out anyway.",,77,133,77,2024-11-29T23:29:37.000Z,https://x.com/chillguycto/status/1862640087323804027
MB Ramesh Nayak,Bookings Chusthunte Goosebumps A Vasthunayi Offline And Online Hype Mamul Ga Ledhu Roaaiiii Let's Enjoy   Chill Guy 's #Khaleja4K @urstrulyMahesh #Khaleja4KFromMay30th,"#Khaleja4K,#Khaleja4KFromMay30th",14,356,14,2025-05-24T11:16:04.000Z,https://x.com/Mbramesh_4005/status/1926235747335442942
ᯓ✦dy,chill guy  tyun,,26,26,0,2025-06-01T04:07:42.000Z,https://x.com/913tyun/status/1929027048695025939
натаріус,Chill  dudes  guys  girls,,8,24,8,2025-05-29T18:26:04.000Z,https://x.com/notarialna_/status/1928155900050620859
chill guy | fan page,"when everything is not alright, but you're just a  chill guy .",,38,167,38,2024-12-06T04:30:02.000Z,https://x.com/chillguyx/status/1864890015869710427
philb,my new plushie. his whole deal is he's a  chill guy  who lowkey would love for you to take him home  http:// -guy …,,977,977,0,2024-12-10T22:12:00.000Z,https://x.com/PhillipBankss/status/1866606821416337592
just a chill guy | fan page,just a  chill guy  in a food coma from all the Christmas food.,,35,75,35,2024-12-26T14:32:02.000Z,https://x.com/chillguycto/status/1872289270913740871
just a chill guy | fan page,"no matter what,  chill guy  will always be there for you when you need him.",,59,105,59,2025-01-19T15:05:35.000Z,https://x.com/chillguycto/status/1880995021845139612
𝖬ⁱ𝗇ᵃ,He’s just a  chill guy,,115,115,0,2025-05-30T18:24:01.000Z,https://x.com/Minip1h/status/1928517773392486636
MBU,Just a  chill guy,,16,27,16,2025-05-27T06:26:21.000Z,https://x.com/MBU/status/1927250001903661226
CUPRA KIRO,Just a  chill guy  ya know.  #ShanghaiEPrix #FormulaE,"#ShanghaiEPrix,#FormulaE",1,8,1,2025-05-31T07:03:04.000Z,https://x.com/KiroRaceCo/status/1928708790569832557
"Wizard Of SoHo (,)",lol  Chill guy  is a multi billion dollar coin larping as a 200mm coin… fr fr,,74,71,74,2024-11-20T12:02:54.000Z,https://x.com/wizardofsoho/status/1859205777535222262
Tryrex,"Despite Trump's tweet, the plan hasn't changed.

Still expecting the altcoin marketcap to reach a new high very soon. 
Longs on  $PIXEL  $ CHILLGUY  and  $BOME  are still running.",,3,4,3,2025-05-23T14:30:26.000Z,https://x.com/Tryrexcrypto/status/1925922275032699043
DoctorDeFi,"This is how simple  #chillguy 's life is. The room might be empty for most of us, but for a  chillguy  it's all he needs. 
Yeah he does have  @binance 's new mug! and lots of stuff to take inspiration from.",#chillguy,11,42,11,2024-11-24T21:06:42.000Z,https://x.com/DoctorDeFi/status/1860792181922857463
just a chill guy | fan page,when my portfolio is all red but i still buy the dip cause i'm a  chill guy,,68,133,68,2024-12-01T02:43:21.000Z,https://x.com/chillguycto/status/1863051229519057359
just a chill guy | fan page,"even the biggest & strongest of us

are just  chill guys  at heart.",,69,126,69,2024-12-02T22:32:18.000Z,https://x.com/chillguycto/status/1863712826298093796
just a chill guy | fan page,"a  chill guy  is never late, nor is he early, he arrives precisely when he means to.",,50,157,50,2024-12-23T15:08:06.000Z,https://x.com/chillguycto/status/1871211186534154634
just a chill guy | fan page,just a  chill guy  fighting for solana and memecoins.,,84,191,84,2025-01-18T18:39:24.000Z,https://x.com/chillguycto/status/1880686445213733026
CHILLGUY on SOL,I’m straight chillin’ at Tilted Towers,,2,16,2,2025-05-24T06:13:42.000Z,https://x.com/chillguy4life/status/1926159651990642809
CHILLGUY on SOL,"“I wish I had bought  CHILLGUY , I wish I had hold  CHILLGUY ”

Patience. #CHILLGUY #SHIB","#CHILLGUY,#SHIB",9,23,9,2025-05-26T22:57:12.000Z,https://x.com/chillguy4life/status/1927136969890422842
Alex,"#CHILLGUY  is about to bounce  If it doesn’t, blame trump ",#CHILLGUY,2,11,2,2025-05-24T07:08:34.000Z,https://x.com/iamalexaslan/status/1926173459702235360
SwapSpace, New listing - $ CHILLGUY  is now available on SwapSpace @chillguycto  is a meme character that's all about being super relaxed and not caring much about anything.  Go to our platform to exchange  CHILLGUY  at the most favorable rates -  https:// guy?utm_source=twitter&utm_medium=social&utm_campaign=listing … #listing #swap,"#listing,#swap",24,66,24,2024-11-24T13:44:57.000Z,https://x.com/SwapSpaceCo/status/1860681009920127449
Bitget,"$1,000  CHILLGUY  Giveaway  Meet  Chill Guy @chillguycto  — the internet’s favorite meme turned crypto sensation! 

From a simple cartoon to  Chill Guy ’s “Why worry?” vibe is taking over X, TikTok, and the  @solana  blockchain. 

Let's discover why  Chill Guy  is the meme of our",,114,325,114,2024-12-03T05:23:59.000Z,https://x.com/bitgetglobal/status/1863816429365248317
tweeday,Just a couple of  chill guys  in Dallas (it‘s so nice here),,14,4,14,2025-05-24T03:43:44.000Z,https://x.com/Mrtweeday/status/1926121915531329750
just a chill guy | fan page,just a  chill guy  in a world full of chaos.,,42,54,42,2025-02-20T21:45:00.000Z,https://x.com/chillguycto/status/1892691951297667131
FreenBecky&Chill,"You  guys  don’t understand what just happened   A fan gave their camera to Freen, Freen took a pic of the fan, then stood up and walked to Becky, took a picture of Becky. Then Becky took a picture of Freen and then they took a selfie together and bye that camera just turned into",,61,2960,61,2025-05-22T16:21:18.000Z,https://x.com/FBandChill/status/1925587784892395970
"Wizard Of SoHo (,)",Just a  chill guy  waiting for  chill guy  and moodeng  listings,,54,46,54,2024-12-04T18:41:31.000Z,https://x.com/wizardofsoho/status/1864379524915273769
just a chill guy | fan page,"don't let everyday things take away your  chill , just turn on your favorite song and  chill  a little longer.",,22,54,22,2025-01-24T00:15:12.000Z,https://x.com/chillguycto/status/1882582892066517226
Bitget,Chill guy  just launched a new mini app on Telegram!  @chillguycto Ready to level up your  chill  vibes?  Chill guy  bot   Boost   Follow Bitget on X = 50 XP  Join now:  https://,,78,153,78,2024-12-16T16:00:02.000Z,https://x.com/bitgetglobal/status/1868687538199875908
just a chill guy | fan page,just a  chill guy  who's standing on business.,,26,40,26,2025-03-26T11:01:45.000Z,https://x.com/chillguycto/status/1904851258600468674
TWS SAI INDONESIA,[INSTAGRAM] 250525  #YOUNGJAE : ingin menjadi  chill guy #TWS #투어스 #247WithUs #영재 @TWS_PLEDIS,"#YOUNGJAE,#TWS,#투어스,#247WithUs,#영재",20,20,0,2025-05-25T12:29:13.000Z,https://x.com/TWS42_INDONESIA/status/1926616544500502575
Masc,"Here we go with another bear trap for the non  #chillguy  ’s 

Remember you’re buying for medium to long term hold and you’re never going to time the bottom of any chart. So all you gotta do is buy, DCA and  chill  thru it all. 

Don’t over complicate crypto.",#chillguy,6,18,6,2025-05-25T16:11:09.000Z,https://x.com/Mascaroo7/status/1926672394271277084
"Wizard Of SoHo (,)","Chill guy  has made me so calm towards the hate on this app from copelords and plebs 

I am just a  chill guy  … hanging out with my  chill guys  

That’s all",,19,28,19,2024-11-27T15:01:35.000Z,https://x.com/wizardofsoho/status/1861787461099073811
just a chill guy | fan page,"the crypto space has been set on fire, but we've got plenty of  chill guys  around to extinguish this.",,27,54,27,2025-02-18T00:03:34.000Z,https://x.com/chillguycto/status/1891639657793819095
borovik.sol,"Everyone is claiming this is the original  chill guy This appears to be from a Thai children’s book, although I haven’t been able to find the exact book",,162,34,162,2024-12-25T20:07:18.000Z,https://x.com/3orovik/status/1872011258477883829
homophobic griefkiddo (comms full),you can say im just a  chill guy,,6,142,6,2025-05-28T02:16:07.000Z,https://x.com/xGOREGHOULx/status/1927549414425395461
Crypto Analyst,"I am longing $ chillguy  .
Big pump coming .",,28,16,28,2025-05-24T16:08:51.000Z,https://x.com/CryptoA40672341/status/1926309426765451557
𝘽𝙖𝙡𝙙𝙧,"Why  #revolut  accumulated so much  CHILLGUY  ?

Francesca Carlesi is the ceo of Revolut UK, wef member and a  young global leader for italy-us Council 2013.

She connected to the current president of FIFA who is also Italian and a member of world economic forum

Do they have some",#revolut,6,23,6,2025-05-25T14:52:57.000Z,https://x.com/Raptorj69/status/1926652714009661711
Matt10,"About Ter stegen Y'all need to  chill  cos starting a movement on social media or sending evil messages to him won't speed up his departure, You're only destroying his confidence and mental health.
 I promise you he's seeing this things you  guys  say about him",,404,305,404,2025-05-26T22:15:41.000Z,https://x.com/Sir_Matt10/status/1927126519534481567
uu,"G is too cool for that. He is a  chill guy , like, ok whatever, so i don't think so. 

P/s: but we knew Joss is spoiled G  ‍ ‍",,35,35,0,2025-05-24T01:34:12.000Z,https://x.com/gawinsfaen/status/1926089314238165010
